Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
RTX,2002,Raytheon Technologies,USA,Aerospace|Defense contractors,$29.14 B,$27.98 B,$3.65 B
RTX,2003,Raytheon Technologies,USA,Aerospace|Defense contractors,$48.71 B,$30.72 B,$3.84 B
RTX,2004,Raytheon Technologies,USA,Aerospace|Defense contractors,$52.82 B,$36.70 B,$4.47 B
RTX,2005,Raytheon Technologies,USA,Aerospace|Defense contractors,$56.68 B,$42.27 B,$5.18 B
RTX,2006,Raytheon Technologies,USA,Aerospace|Defense contractors,$62.25 B,$47.11 B,$6.09 B
RTX,2007,Raytheon Technologies,USA,Aerospace|Defense contractors,$75.28 B,$54.75 B,$7.05 B
RTX,2008,Raytheon Technologies,USA,Aerospace|Defense contractors,$50.95 B,$58.04 B,$7.62 B
RTX,2009,Raytheon Technologies,USA,Aerospace|Defense contractors,$65.01 B,$52.42 B,$6.46 B
RTX,2010,Raytheon Technologies,USA,Aerospace|Defense contractors,$72.52 B,$54.32 B,$7.28 B
RTX,2011,Raytheon Technologies,USA,Aerospace|Defense contractors,$66.22 B,$58.19 B,$8.25 B
RTX,2012,Raytheon Technologies,USA,Aerospace|Defense contractors,$75.35 B,$57.71 B,$7.79 B
RTX,2013,Raytheon Technologies,USA,Aerospace|Defense contractors,$104.31 B,$62.62 B,$9.34 B
RTX,2014,Raytheon Technologies,USA,Aerospace|Defense contractors,$104.57 B,$65.10 B,$9.98 B
RTX,2015,Raytheon Technologies,USA,Aerospace|Defense contractors,$80.53 B,$58.96 B,$7.64 B
RTX,2016,Raytheon Technologies,USA,Aerospace|Defense contractors,$90.26 B,$57.24 B,$8.29 B
RTX,2017,Raytheon Technologies,USA,Aerospace|Defense contractors,$101.87 B,$59.83 B,$8.78 B
RTX,2018,Raytheon Technologies,USA,Aerospace|Defense contractors,$91.73 B,$66.50 B,$9.50 B
RTX,2019,Raytheon Technologies,USA,Aerospace|Defense contractors,$129.44 B,$77.04 B,$10.01 B
RTX,2020,Raytheon Technologies,USA,Aerospace|Defense contractors,$108.60 B,$63.43 B,-$1.06 B
RTX,2021,Raytheon Technologies,USA,Aerospace|Defense contractors,$128.81 B,,
